,Population,Confirmed,Active,Incidence Rate,Deaths,Death Rate,Latitude,Avg Temperature (C),Avg Max Heat Index (C),Median Household Income ($),Unemployment Rate,Poverty Rate,Median AQI,Population Density (/mi^2),Males per 100 Females
"Bergen, NJ",936692,17150.0,15741.0,0.017979917009316008,1409.0,0.07592003879519371,40.96010917,11.61,31.66,100181.0,3.4,0.24,46,3795.348460291734,95.2
"Bristol, MA",564022,5249.0,4961.0,0.009220564546586775,288.0,0.05201372584432003,41.79228404,10.375,31.45,66005.0,4.3,0.47,42,816.0158567108898,93.8
"Broward, FL",1951260,5998.0,5731.0,0.003064491242340049,267.0,0.04261771747805267,26.15184651,24.445,34.45,57200.0,3.4,0.13,42,1478.641740487864,95.0
"Camden, NJ",507078,5099.0,4853.0,0.009955542712773123,246.0,0.0460243217960711,39.80343818,12.61,32.13,67135.0,4.6,0.14,44,2228.130767202742,94.1
"Clark, NV",2231647,5045.0,4770.0,0.0022555631262596728,275.0,0.05169172932330827,36.21458855,18.27,32.48,57155.0,4.8,12.6,52,275.8300311717462,103.6
"Cook, IL",5180493,56406.0,53817.0,0.01077087795659225,2589.0,0.04388507500635647,41.84144849,10.03,33.03,63347.0,4.0,13.79,54,3168.4197328505725,94.8
"Dallas, TX",2637772,6602.0,6449.0,0.0024966211284788006,153.0,0.022649888971132494,32.76670599,20.165,36.44,59838.0,3.7,51.15,45,2903.2446949018226,103.1
"DuPage, IL",928589,5244.0,4973.0,0.0056155650956862735,271.0,0.04913871260199456,41.85116968,9.78,32.98,93540.0,3.1,3.09,44,2759.14128658446,98.4
"Essex, MA",790638,11703.0,10999.0,0.014586067519919834,704.0,0.056742161682920934,42.6687626,9.79,30.82,76373.0,3.4,4.75,40,954.265989161527,94.2
"Essex, NJ",799767,15905.0,14423.0,0.01949925950627213,1482.0,0.08523609593374361,40.78681335,11.835,31.59,62875.0,5.2,0.77,41,6172.946897190491,93.4
"Fairfax, VA",1150795,6666.0,6404.0,0.005759157327979085,262.0,0.0378175519630485,38.83677558,13.53,32.46,122035.0,2.4,6.35,41,2830.2181451513734,98.6
"Fairfax, VA",1150795,6666.0,6404.0,0.005759157327979085,262.0,0.0378175519630485,38.83677558,13.53,32.46,122035.0,2.4,6.35,41,2830.2181451513734,95.6
"Fairfax, VA",1150795,6666.0,6404.0,0.005759157327979085,262.0,0.0378175519630485,38.83677558,13.53,32.46,122035.0,2.4,6.35,41,182376.38668779714,98.6
"Fairfax, VA",1150795,6666.0,6404.0,0.005759157327979085,262.0,0.0378175519630485,38.83677558,13.53,32.46,122035.0,2.4,6.35,41,182376.38668779714,95.6
"Fairfield, CT",943823,13636.0,12568.0,0.014241863098054329,1068.0,0.07263329706202394,41.26809896,10.945,31.51,91183.0,4.0,0.1,43,1127.6799369145479,96.1
"Harris, TX",4698619,8621.0,8433.0,0.0018314341312531334,188.0,0.02134180951299807,29.86,21.16,35.93,60241.0,4.4,13.41,51,2643.1036907447306,100.7
"Hartford, CT",892697,7732.0,6769.0,0.008587017965880708,963.0,0.11075330649798736,41.80283011,10.515,31.6,73037.0,4.2,0.11,41,1189.3587540136161,94.1
"Hudson, NJ",676061,17451.0,16444.0,0.025163227168383533,1007.0,0.05455628995557482,40.73766234,12.18,31.55,73337.0,3.9,0.33,42,10829.104597148807,98.5
"King, WA",2233163,7212.0,6694.0,0.003219103944652123,518.0,0.06701164294954721,47.49137892,7.905,29.97,94822.0,3.5,6.39,39,968.1916125088335,100.1
"Lake, IL",700832,5758.0,5564.0,0.008148997296876547,194.0,0.032594086021505375,42.3224907,9.43,32.59,87336.0,4.5,1.08,41,512.3228188164771,100.9
"Los Angeles, CA",10105518,34538.0,32878.0,0.0034060955876377805,1660.0,0.04585888723133875,34.30828379,16.73,30.51,67986.0,4.7,0.14,58,2126.438876169955,98.5
