County,LND010200D
UNITED STATES,3794083.06
ALABAMA,52419.02
"Autauga, AL",604.45
"Baldwin, AL",2026.93
"Barbour, AL",904.52
"Bibb, AL",626.16
"Blount, AL",650.6
"Bullock, AL",626.06
"Butler, AL",777.92
"Calhoun, AL",612.32
"Chambers, AL",603.11
"Cherokee, AL",599.95
"Chilton, AL",700.76
"Choctaw, AL",920.85
"Clarke, AL",1252.51
"Clay, AL",606
"Cleburne, AL",561.02
"Coffee, AL",680.48
"Colbert, AL",623.61
"Conecuh, AL",852.51
"Coosa, AL",666.36
"Covington, AL",1043.86
"Crenshaw, AL",610.88
"Cullman, AL",754.82
"Dale, AL",562.67
"Dallas, AL",993.37
"DeKalb, AL",778.65
"Elmore, AL",657.21
"Escambia, AL",952.95
"Etowah, AL",548.75
"Fayette, AL",629.34
"Franklin, AL",646.51
"Geneva, AL",578.9
"Greene, AL",659.93
"Hale, AL",656.47
"Henry, AL",568.33
"Houston, AL",581.65
"Jackson, AL",1126.77
"Jefferson, AL",1123.8
"Lamar, AL",605.47
"Lauderdale, AL",718.78
"Lawrence, AL",718.07
"Lee, AL",615.55
"Limestone, AL",607.08
"Lowndes, AL",725.03
"Macon, AL",613.24
"Madison, AL",812.85
"Marengo, AL",982.85
"Marion, AL",743.57
"Marshall, AL",623.16
"Mobile, AL",1644.02
"Monroe, AL",1034.53
"Montgomery, AL",799.76
"Morgan, AL",599.06
"Perry, AL",724.08
"Pickens, AL",890.05
"Pike, AL",672.1
"Randolph, AL",584.11
"Russell, AL",647.38
"St. Clair, AL",653.61
"Shelby, AL",809.53
"Sumter, AL",913.3
"Talladega, AL",760.25
"Tallapoosa, AL",766.23
"Tuscaloosa, AL",1351.23
"Walker, AL",805.3
"Washington, AL",1088.54
"Wilcox, AL",907.46
"Winston, AL",631.86
ALASKA,663267.26
"Aleutians East, AK",15011.6
"Aleutians West, AK",14116.51
"Anchorage, AK",1961.09
"Bethel, AK",45508.46
"Bristol Bay, AK",887.68
"Denali, AK",12774.53
"Dillingham, AK",20928.41
"Fairbanks North Star, AK",7444.02
"Haines, AK",2725.82
"Hoonah-Angoon, AK",11376.73
"Juneau, AK",3255.01
"Kenai Peninsula, AK",24754.6
"Ketchikan Gateway, AK",1753.98
"Kodiak Island, AK",12023.67
"Lake and Peninsula, AK",30906.96
"Matanuska-Susitna, AK",25259.79
"Nome, AK",28283.33
"North Slope, AK",94762.64
