County,County Code,Avg Max Heat Index (C)
"Autauga County, AL",1001,34.74
"Baldwin County, AL",1003,34.77
"Barbour County, AL",1005,34.58
"Bibb County, AL",1007,34.81
"Blount County, AL",1009,34.11
"Bullock County, AL",1011,34.61
"Butler County, AL",1013,34.62
"Calhoun County, AL",1015,34.01
"Chambers County, AL",1017,34.03
"Cherokee County, AL",1019,33.93
"Chilton County, AL",1021,34.48
"Choctaw County, AL",1023,35.23
"Clarke County, AL",1025,35.07
"Clay County, AL",1027,33.45
"Cleburne County, AL",1029,33.37
"Coffee County, AL",1031,34.58
"Colbert County, AL",1033,34.56
"Conecuh County, AL",1035,34.64
"Coosa County, AL",1037,34.28
"Covington County, AL",1039,34.61
"Crenshaw County, AL",1041,34.53
"Cullman County, AL",1043,34.11
"Dale County, AL",1045,34.63
"Dallas County, AL",1047,35.17
"DeKalb County, AL",1049,32.92
"Elmore County, AL",1051,34.79
"Escambia County, AL",1053,34.64
"Etowah County, AL",1055,34
"Fayette County, AL",1057,34.72
"Franklin County, AL",1059,34.25
"Geneva County, AL",1061,34.81
"Greene County, AL",1063,35.39
"Hale County, AL",1065,35.23
"Henry County, AL",1067,34.65
"Houston County, AL",1069,34.81
"Jackson County, AL",1071,33.33
"Jefferson County, AL",1073,34.51
"Lamar County, AL",1075,34.95
"Lauderdale County, AL",1077,34.39
"Lawrence County, AL",1079,34.26
"Lee County, AL",1081,34.19
"Limestone County, AL",1083,34.16
"Lowndes County, AL",1085,35.04
"Macon County, AL",1087,34.83
"Madison County, AL",1089,33.89
"Marengo County, AL",1091,35.29
"Marion County, AL",1093,34.43
"Marshall County, AL",1095,33.73
"Mobile County, AL",1097,34.93
"Monroe County, AL",1099,34.84
"Montgomery County, AL",1101,34.96
"Morgan County, AL",1103,34.19
"Perry County, AL",1105,35.02
"Pickens County, AL",1107,35.2
"Pike County, AL",1109,34.46
"Randolph County, AL",1111,33.67
"Russell County, AL",1113,34.72
"St. Clair County, AL",1115,34.1
"Shelby County, AL",1117,34.5
"Sumter County, AL",1119,35.39
"Talladega County, AL",1121,34.36
"Tallapoosa County, AL",1123,34.25
"Tuscaloosa County, AL",1125,34.98
"Walker County, AL",1127,34.79
"Washington County, AL",1129,35.11
"Wilcox County, AL",1131,35.2
"Winston County, AL",1133,34.2
"Apache County, AZ",4001,28.6
"Cochise County, AZ",4003,30.3
"Coconino County, AZ",4005,29.08
"Gila County, AZ",4007,30.33
"Graham County, AZ",4009,30.77
"Greenlee County, AZ",4011,29.9
"La Paz County, AZ",4012,33.81
"Maricopa County, AZ",4013,33.86
"Mohave County, AZ",4015,31.5
"Navajo County, AZ",4017,28.87
"Pima County, AZ",4019,32.19
"Pinal County, AZ",4021,33.24
"Santa Cruz County, AZ",4023,29.87
