County,County Code,Avg Daily Max Air Temperature (C),Avg Daily Min Air Temperature (C),Avg Temperature (C)
"Autauga County, AL",1001,24.11,12.41,18.26
"Baldwin County, AL",1003,24.59,15.22,19.905
"Barbour County, AL",1005,24.64,13.09,18.865
"Bibb County, AL",1007,23.76,12.08,17.92
"Blount County, AL",1009,22.33,11.51,16.92
"Bullock County, AL",1011,24.37,12.6,18.485
"Butler County, AL",1013,24.47,12.8,18.635
"Calhoun County, AL",1015,22.53,11.5,17.015
"Chambers County, AL",1017,23.18,12.19,17.685
"Cherokee County, AL",1019,22.1,11.56,16.83
"Chilton County, AL",1021,23.54,12.23,17.885
"Choctaw County, AL",1023,25.05,12.27,18.66
"Clarke County, AL",1025,25.43,12.37,18.9
"Clay County, AL",1027,22.2,11.43,16.815
"Cleburne County, AL",1029,21.98,11.16,16.57
"Coffee County, AL",1031,24.74,13.33,19.035
"Colbert County, AL",1033,22.04,11.71,16.875
"Conecuh County, AL",1035,24.84,13.26,19.05
"Coosa County, AL",1037,23.25,12.27,17.76
"Covington County, AL",1039,24.89,13.01,18.95
"Crenshaw County, AL",1041,24.37,12.71,18.54
"Cullman County, AL",1043,22.2,11.3,16.75
"Dale County, AL",1045,24.93,13.47,19.2
"Dallas County, AL",1047,24.81,12.35,18.58
"DeKalb County, AL",1049,20.84,11.07,15.955
"Elmore County, AL",1051,24.1,12.56,18.33
"Escambia County, AL",1053,25.05,13.4,19.225
"Etowah County, AL",1055,22.27,11.46,16.865
"Fayette County, AL",1057,23.15,11.88,17.515
"Franklin County, AL",1059,22.04,11.58,16.81
"Geneva County, AL",1061,25.41,13.24,19.325
"Greene County, AL",1063,24.46,11.88,18.17
"Hale County, AL",1065,24.48,12.05,18.265
"Henry County, AL",1067,24.85,13.43,19.14
"Houston County, AL",1069,25.48,13.4,19.44
"Jackson County, AL",1071,21.01,10.89,15.95
"Jefferson County, AL",1073,23.02,12.06,17.54
"Lamar County, AL",1075,23.48,11.48,17.48
"Lauderdale County, AL",1077,21.68,11.46,16.57
"Lawrence County, AL",1079,21.98,11.47,16.725
"Lee County, AL",1081,23.71,12.48,18.095
"Limestone County, AL",1083,21.71,11.21,16.46
"Lowndes County, AL",1085,24.66,12.63,18.645
"Macon County, AL",1087,24.44,12.7,18.57
"Madison County, AL",1089,21.45,11.11,16.28
"Marengo County, AL",1091,24.94,12.24,18.59
"Marion County, AL",1093,22.57,11.67,17.12
"Marshall County, AL",1095,21.67,11.12,16.395
"Mobile County, AL",1097,25.12,14.68,19.9
"Monroe County, AL",1099,25.16,12.65,18.905
"Montgomery County, AL",1101,24.48,12.7,18.59
"Morgan County, AL",1103,22.01,11.34,16.675
"Perry County, AL",1105,24.45,12.09,18.27
"Pickens County, AL",1107,24.04,11.58,17.81
"Pike County, AL",1109,24.4,12.85,18.625
"Randolph County, AL",1111,22.55,11.56,17.055
"Russell County, AL",1113,24.45,12.85,18.65
"St. Clair County, AL",1115,22.53,11.6,17.065
"Shelby County, AL",1117,23.11,12.2,17.655
"Sumter County, AL",1119,24.55,11.93,18.24
"Talladega County, AL",1121,22.95,11.87,17.41
"Tallapoosa County, AL",1123,23.43,12.28,17.855
"Tuscaloosa County, AL",1125,23.76,11.94,17.85
"Walker County, AL",1127,23.13,11.92,17.525
"Washington County, AL",1129,25.47,12.72,19.095
"Wilcox County, AL",1131,25.2,12.38,18.79
"Winston County, AL",1133,22.2,11.66,16.93
"Apache County, AZ",4001,16.63,6.3,11.465
"Cochise County, AZ",4003,23.56,11.31,17.435
"Coconino County, AZ",4005,17.86,7.3,12.58
"Gila County, AZ",4007,21.6,10.07,15.835
"Graham County, AZ",4009,23.05,11.01,17.03
"Greenlee County, AZ",4011,20.6,9.03,14.815
"La Paz County, AZ",4012,28.12,16.64,22.38
"Maricopa County, AZ",4013,28.38,16.28,22.33
"Mohave County, AZ",4015,22.52,11.65,17.085
"Navajo County, AZ",4017,17.83,7.57,12.7
"Pima County, AZ",4019,26.6,14.46,20.53
"Pinal County, AZ",4021,27.53,15.29,21.41
"Santa Cruz County, AZ",4023,23.4,11.01,17.205
"Yavapai County, AZ",4025,21.54,10.52,16.03
"Yuma County, AZ",4027,29.28,16.84,23.06
"Arkansas County, AR",5001,23.92,12.23,18.075
"Ashley County, AR",5003,25.32,12.84,19.08
"Baxter County, AR",5005,20.93,10.08,15.505
"Benton County, AR",5007,20.49,9.33,14.91
"Boone County, AR",5009,20.31,9.69,15
"Bradley County, AR",5011,25.1,12.1,18.6
"Calhoun County, AR",5013,25.18,11.88,18.53
"Carroll County, AR",5015,19.92,9.19,14.555
"Chicot County, AR",5017,25.02,12.64,18.83
"Clark County, AR",5019,24.42,12.28,18.35
"Clay County, AR",5021,21.17,10.62,15.895
"Cleburne County, AR",5023,21.26,11.09,16.175
"Cleveland County, AR",5025,24.39,11.59,17.99
"Columbia County, AR",5027,25.58,12.27,18.925
"Conway County, AR",5029,22.18,11.38,16.78
"Craighead County, AR",5031,21.84,10.9,16.37
"Crawford County, AR",5033,22.01,10.97,16.49
"Crittenden County, AR",5035,22.74,11.34,17.04
"Cross County, AR",5037,22.61,11.18,16.895
"Dallas County, AR",5039,24.35,11.57,17.96
"Desha County, AR",5041,24.46,12.46,18.46
"Drew County, AR",5043,24.76,12.45,18.605
"Faulkner County, AR",5045,22.42,11.59,17.005
"Franklin County, AR",5047,22.33,10.92,16.625
"Fulton County, AR",5049,20.38,9.95,15.165
