"Notes"	"County"	"County Code"	Avg Daily Max Air Temperature (C)	Avg Daily Min Air Temperature (C)
	"Autauga County, AL"	"01001"	24.11	12.41
	"Baldwin County, AL"	"01003"	24.59	15.22
	"Barbour County, AL"	"01005"	24.64	13.09
	"Bibb County, AL"	"01007"	23.76	12.08
	"Blount County, AL"	"01009"	22.33	11.51
	"Bullock County, AL"	"01011"	24.37	12.60
	"Butler County, AL"	"01013"	24.47	12.80
	"Calhoun County, AL"	"01015"	22.53	11.50
	"Chambers County, AL"	"01017"	23.18	12.19
	"Cherokee County, AL"	"01019"	22.10	11.56
	"Chilton County, AL"	"01021"	23.54	12.23
	"Choctaw County, AL"	"01023"	25.05	12.27
	"Clarke County, AL"	"01025"	25.43	12.37
	"Clay County, AL"	"01027"	22.20	11.43
	"Cleburne County, AL"	"01029"	21.98	11.16
	"Coffee County, AL"	"01031"	24.74	13.33
	"Colbert County, AL"	"01033"	22.04	11.71
	"Conecuh County, AL"	"01035"	24.84	13.26
	"Coosa County, AL"	"01037"	23.25	12.27
	"Covington County, AL"	"01039"	24.89	13.01
	"Crenshaw County, AL"	"01041"	24.37	12.71
	"Cullman County, AL"	"01043"	22.20	11.30
	"Dale County, AL"	"01045"	24.93	13.47
	"Dallas County, AL"	"01047"	24.81	12.35
	"DeKalb County, AL"	"01049"	20.84	11.07
	"Elmore County, AL"	"01051"	24.10	12.56
	"Escambia County, AL"	"01053"	25.05	13.40
	"Etowah County, AL"	"01055"	22.27	11.46
	"Fayette County, AL"	"01057"	23.15	11.88
	"Franklin County, AL"	"01059"	22.04	11.58
	"Geneva County, AL"	"01061"	25.41	13.24
	"Greene County, AL"	"01063"	24.46	11.88
	"Hale County, AL"	"01065"	24.48	12.05
	"Henry County, AL"	"01067"	24.85	13.43
	"Houston County, AL"	"01069"	25.48	13.40
	"Jackson County, AL"	"01071"	21.01	10.89
	"Jefferson County, AL"	"01073"	23.02	12.06
	"Lamar County, AL"	"01075"	23.48	11.48
	"Lauderdale County, AL"	"01077"	21.68	11.46
	"Lawrence County, AL"	"01079"	21.98	11.47
	"Lee County, AL"	"01081"	23.71	12.48
	"Limestone County, AL"	"01083"	21.71	11.21
	"Lowndes County, AL"	"01085"	24.66	12.63
	"Macon County, AL"	"01087"	24.44	12.70
	"Madison County, AL"	"01089"	21.45	11.11
	"Marengo County, AL"	"01091"	24.94	12.24
	"Marion County, AL"	"01093"	22.57	11.67
	"Marshall County, AL"	"01095"	21.67	11.12
	"Mobile County, AL"	"01097"	25.12	14.68
	"Monroe County, AL"	"01099"	25.16	12.65
