FIPS,State,Area_Name,County,Rural-urban_Continuum Code_2003,Rural-urban_Continuum Code_2013,Urban_Influence_Code_2003,Urban_Influence_Code_2013,Economic_typology_2015,POP_ESTIMATE_2018,N_POP_CHG_2018,Births_2018,Deaths_2018,NATURAL_INC_2018,INTERNATIONAL_MIG_2018,DOMESTIC_MIG_2018,NET_MIG_2018,RESIDUAL_2018,GQ_ESTIMATES_2018
0,US,United States,"United States, US",,,,,,"327,167,434","2,020,313","3,855,500","2,814,013","1,041,487","978,826",0,"978,826",0,"8,091,609"
1000,AL,Alabama,"Alabama, AL",,,,,,"4,887,871","12,751","57,216","53,425","3,791","3,344","5,718","9,062",-102,"117,443"
1001,AL,Autauga County,"Autauga County, AL",2,2,2,2,0,"55,601",158,655,532,123,-2,37,35,0,455
1003,AL,Baldwin County,"Baldwin County, AL",4,3,5,2,5,"218,022","5,403","2,254","2,228",26,118,"5,232","5,350",27,"2,190"
1005,AL,Barbour County,"Barbour County, AL",6,6,6,6,3,"24,881",-277,261,324,-63,12,-227,-215,1,"2,820"
1007,AL,Bibb County,"Bibb County, AL",1,1,1,1,0,"22,400",-155,250,256,-6,10,-158,-148,-1,"2,151"
1009,AL,Blount County,"Blount County, AL",1,1,1,1,0,"57,840",13,681,662,19,8,-10,-2,-4,489
1011,AL,Bullock County,"Bullock County, AL",6,6,6,6,3,"10,138",-38,115,120,-5,-2,-30,-32,-1,"1,661"
1013,AL,Butler County,"Butler County, AL",6,6,6,6,0,"19,680",-218,221,239,-18,17,-217,-200,0,333
1015,AL,Calhoun County,"Calhoun County, AL",3,3,2,2,4,"114,277",-387,"1,293","1,494",-201,71,-253,-182,-4,"2,739"
1017,AL,Chambers County,"Chambers County, AL",6,6,5,5,0,"33,615",-143,357,461,-104,20,-58,-38,-1,458
1019,AL,Cherokee County,"Cherokee County, AL",8,6,6,6,0,"26,032",217,219,340,-121,-1,338,337,1,290
1021,AL,Chilton County,"Chilton County, AL",1,1,1,1,0,"44,153",36,526,506,20,25,-6,19,-3,393
1023,AL,Choctaw County,"Choctaw County, AL",9,9,10,10,3,"12,841",-94,134,176,-42,-2,-50,-52,0,129
1025,AL,Clarke County,"Clarke County, AL",7,7,11,11,3,"23,920",-177,267,307,-40,-2,-133,-135,-2,280
1027,AL,Clay County,"Clay County, AL",9,9,10,10,3,"13,275",-92,128,177,-49,-1,-42,-43,0,255
