Area_name,State,County,POVALL_2018,POP_ESTIMATE_2018,
United States,US,"United States, US","41,852,315","327,167,434",0.13
Alabama,AL,"Alabama, AL","801,758","4,887,871",0.16
Autauga County,AL,"Autauga County, AL","7,587","55,601",0.14
Baldwin County,AL,"Baldwin County, AL","21,069","218,022",0.10
Barbour County,AL,"Barbour County, AL","6,788","24,881",0.27
Bibb County,AL,"Bibb County, AL","4,400","22,400",0.20
Blount County,AL,"Blount County, AL","7,527","57,840",0.13
Bullock County,AL,"Bullock County, AL","3,610","10,138",0.36
Butler County,AL,"Butler County, AL","4,731","19,680",0.24
Calhoun County,AL,"Calhoun County, AL","21,719","114,277",0.19
Chambers County,AL,"Chambers County, AL","6,181","33,615",0.18
Cherokee County,AL,"Cherokee County, AL","4,180","26,032",0.16
Chilton County,AL,"Chilton County, AL","7,542","44,153",0.17
Choctaw County,AL,"Choctaw County, AL","2,806","12,841",0.22
Clarke County,AL,"Clarke County, AL","5,381","23,920",0.22
Clay County,AL,"Clay County, AL","2,285","13,275",0.17
Cleburne County,AL,"Cleburne County, AL","2,356","14,987",0.16
Coffee County,AL,"Coffee County, AL","7,053","51,909",0.14
Colbert County,AL,"Colbert County, AL","7,459","54,762",0.14
Conecuh County,AL,"Conecuh County, AL","2,979","12,277",0.24
Coosa County,AL,"Coosa County, AL","1,973","10,715",0.18
Covington County,AL,"Covington County, AL","7,239","36,986",0.20
Crenshaw County,AL,"Crenshaw County, AL","2,661","13,824",0.19
Cullman County,AL,"Cullman County, AL","11,925","83,442",0.14
Dale County,AL,"Dale County, AL","7,743","48,956",0.16
Dallas County,AL,"Dallas County, AL","11,841","38,310",0.31
DeKalb County,AL,"DeKalb County, AL","14,975","71,385",0.21
Elmore County,AL,"Elmore County, AL","8,559","81,887",0.10
Escambia County,AL,"Escambia County, AL","8,022","36,748",0.22
Etowah County,AL,"Etowah County, AL","17,509","102,501",0.17
Fayette County,AL,"Fayette County, AL","3,801","16,433",0.23
Franklin County,AL,"Franklin County, AL","5,939","31,363",0.19
Geneva County,AL,"Geneva County, AL","5,537","26,314",0.21
Greene County,AL,"Greene County, AL","2,459","8,233",0.30
Hale County,AL,"Hale County, AL","3,705","14,726",0.25
Henry County,AL,"Henry County, AL","3,037","17,209",0.18
Houston County,AL,"Houston County, AL","17,032","104,722",0.16
Jackson County,AL,"Jackson County, AL","10,046","51,736",0.19
Jefferson County,AL,"Jefferson County, AL","103,604","659,300",0.16
Lamar County,AL,"Lamar County, AL","2,374","13,844",0.17
Lauderdale County,AL,"Lauderdale County, AL","12,645","92,387",0.14
Lawrence County,AL,"Lawrence County, AL","6,297","32,957",0.19
Lee County,AL,"Lee County, AL","30,075","163,941",0.18
Limestone County,AL,"Limestone County, AL","10,633","96,174",0.11
Lowndes County,AL,"Lowndes County, AL","2,474","9,974",0.25
Macon County,AL,"Macon County, AL","5,031","18,439",0.27
Madison County,AL,"Madison County, AL","42,667","366,519",0.12
Marengo County,AL,"Marengo County, AL","4,499","19,066",0.24
Marion County,AL,"Marion County, AL","5,844","29,763",0.20
Marshall County,AL,"Marshall County, AL","17,341","96,109",0.18
Mobile County,AL,"Mobile County, AL","84,539","413,757",0.20
Monroe County,AL,"Monroe County, AL","4,560","21,067",0.22
Montgomery County,AL,"Montgomery County, AL","43,567","225,763",0.19
Morgan County,AL,"Morgan County, AL","15,419","119,089",0.13
Perry County,AL,"Perry County, AL","2,943","9,140",0.32
Pickens County,AL,"Pickens County, AL","4,177","19,938",0.21
Pike County,AL,"Pike County, AL","7,315","33,338",0.22
Randolph County,AL,"Randolph County, AL","4,375","22,725",0.19
Russell County,AL,"Russell County, AL","12,384","57,781",0.21
St. Clair County,AL,"St. Clair County, AL","10,432","88,690",0.12
Shelby County,AL,"Shelby County, AL","16,916","215,707",0.08
Sumter County,AL,"Sumter County, AL","4,076","12,691",0.32
Talladega County,AL,"Talladega County, AL","14,825","79,828",0.19
Tallapoosa County,AL,"Tallapoosa County, AL","7,839","40,497",0.19
Tuscaloosa County,AL,"Tuscaloosa County, AL","33,330","208,911",0.16
Walker County,AL,"Walker County, AL","11,231","63,711",0.18
Washington County,AL,"Washington County, AL","2,846","16,378",0.17
Wilcox County,AL,"Wilcox County, AL","3,504","10,627",0.33
Winston County,AL,"Winston County, AL","4,338","23,660",0.18
Alaska,AK,"Alaska, AK","80,224","737,438",0.11
Aleutians East Borough,AK,"Aleutians East Borough, AK",544,"3,515",0.15
Aleutians West Census Area,AK,"Aleutians West Census Area, AK",550,"5,723",0.10
Anchorage Borough,AK,"Anchorage Borough, AK","27,075","291,538",0.09
Bethel Census Area,AK,"Bethel Census Area, AK","5,869","18,216",0.32
Bristol Bay Borough,AK,"Bristol Bay Borough, AK",96,877,0.11
Denali Borough,AK,"Denali Borough, AK",135,"2,059",0.07
Dillingham Census Area,AK,"Dillingham Census Area, AK","1,091","5,000",0.22
Fairbanks North Star Borough,AK,"Fairbanks North Star Borough, AK","8,104","98,971",0.08
Haines Borough,AK,"Haines Borough, AK",259,"2,474",0.10
Hoonah-Angoon Census Area,AK,"Hoonah-Angoon Census Area, AK",370,"2,151",0.17
Juneau Borough,AK,"Juneau Borough, AK","2,299","32,113",0.07
Kenai Peninsula Borough,AK,"Kenai Peninsula Borough, AK","7,103","58,533",0.12
Ketchikan Gateway Borough,AK,"Ketchikan Gateway Borough, AK","1,244","13,918",0.09
Kodiak Island Borough,AK,"Kodiak Island Borough, AK","1,073","13,345",0.08
Kusilvak Census Area,AK,"Kusilvak Census Area, AK","2,905","8,303",0.35
Lake and Peninsula Borough,AK,"Lake and Peninsula Borough, AK",288,"1,587",0.18
Matanuska-Susitna Borough,AK,"Matanuska-Susitna Borough, AK","10,937","107,610",0.10
Nome Census Area,AK,"Nome Census Area, AK","2,168","10,008",0.22
North Slope Borough,AK,"North Slope Borough, AK","1,094","9,872",0.11
Northwest Arctic Borough,AK,"Northwest Arctic Borough, AK","1,604","7,671",0.21
Petersburg Borough,AK,"Petersburg Borough, AK",232,"3,221",0.07
Prince of Wales-Hyder Census Area,AK,"Prince of Wales-Hyder Census Area, AK","1,057","6,422",0.16
Sitka Borough,AK,"Sitka Borough, AK",656,"8,647",0.08
Skagway Municipality,AK,"Skagway Municipality, AK",49,"1,148",0.04
Southeast Fairbanks Census Area,AK,"Southeast Fairbanks Census Area, AK",918,"6,918",0.13
Valdez-Cordova Census Area,AK,"Valdez-Cordova Census Area, AK",880,"9,164",0.10
Wrangell City and Borough,AK,"Wrangell City and Borough, AK",287,"2,503",0.11
Yakutat Borough,AK,"Yakutat Borough, AK",79,604,0.13
Yukon-Koyukuk Census Area,AK,"Yukon-Koyukuk Census Area, AK","1,259","5,327",0.24
Arizona,AZ,"Arizona, AZ","990,291","7,171,646",0.14
Apache County,AZ,"Apache County, AZ","26,435","71,818",0.37
Cochise County,AZ,"Cochise County, AZ","18,273","126,770",0.14
Coconino County,AZ,"Coconino County, AZ","20,964","142,854",0.15
Gila County,AZ,"Gila County, AZ","10,804","53,889",0.20
Graham County,AZ,"Graham County, AZ","7,118","38,072",0.19
Greenlee County,AZ,"Greenlee County, AZ",985,"9,483",0.10
La Paz County,AZ,"La Paz County, AZ","4,921","21,098",0.23
Maricopa County,AZ,"Maricopa County, AZ","535,183","4,410,824",0.12
Mohave County,AZ,"Mohave County, AZ","34,411","209,550",0.16
Navajo County,AZ,"Navajo County, AZ","30,876","110,445",0.28
Pima County,AZ,"Pima County, AZ","164,927","1,039,073",0.16
Pinal County,AZ,"Pinal County, AZ","54,399","447,138",0.12
Santa Cruz County,AZ,"Santa Cruz County, AZ","11,287","46,511",0.24
Yavapai County,AZ,"Yavapai County, AZ","30,060","231,993",0.13
Yuma County,AZ,"Yuma County, AZ","39,648","212,128",0.19
Arkansas,AR,"Arkansas, AR","492,306","3,013,825",0.16
Arkansas County,AR,"Arkansas County, AR","3,120","17,769",0.18
Ashley County,AR,"Ashley County, AR","3,876","20,046",0.19
Baxter County,AR,"Baxter County, AR","6,216","41,619",0.15
Benton County,AR,"Benton County, AR","23,290","272,608",0.09
Boone County,AR,"Boone County, AR","5,472","37,480",0.15
Bradley County,AR,"Bradley County, AR","2,329","10,897",0.21
Calhoun County,AR,"Calhoun County, AR",800,"5,277",0.15
Carroll County,AR,"Carroll County, AR","4,499","28,223",0.16
Chicot County,AR,"Chicot County, AR","3,039","10,438",0.29
Clark County,AR,"Clark County, AR","3,838","22,061",0.17
Clay County,AR,"Clay County, AR","3,035","14,847",0.20
Cleburne County,AR,"Cleburne County, AR","3,573","24,965",0.14
Cleveland County,AR,"Cleveland County, AR","1,232","8,018",0.15
Columbia County,AR,"Columbia County, AR","4,799","23,537",0.20
Conway County,AR,"Conway County, AR","3,693","20,891",0.18
Craighead County,AR,"Craighead County, AR","18,768","108,558",0.17
Crawford County,AR,"Crawford County, AR","10,027","63,406",0.16
Crittenden County,AR,"Crittenden County, AR","9,056","48,342",0.19
Cross County,AR,"Cross County, AR","2,940","16,676",0.18
Dallas County,AR,"Dallas County, AR","1,442","7,182",0.20
Desha County,AR,"Desha County, AR","2,780","11,512",0.24
Drew County,AR,"Drew County, AR","3,391","18,328",0.19
Faulkner County,AR,"Faulkner County, AR","18,571","124,806",0.15
Franklin County,AR,"Franklin County, AR","3,202","17,810",0.18
Fulton County,AR,"Fulton County, AR","2,481","12,269",0.20
Garland County,AR,"Garland County, AR","19,844","99,154",0.20
Grant County,AR,"Grant County, AR","2,353","18,188",0.13
Greene County,AR,"Greene County, AR","7,361","45,325",0.16
Hempstead County,AR,"Hempstead County, AR","4,424","21,741",0.20
Hot Spring County,AR,"Hot Spring County, AR","5,844","33,701",0.17
Howard County,AR,"Howard County, AR","2,271","13,341",0.17
Independence County,AR,"Independence County, AR","5,302","37,678",0.14
Izard County,AR,"Izard County, AR","2,358","13,593",0.17
Jackson County,AR,"Jackson County, AR","3,732","16,811",0.22
Jefferson County,AR,"Jefferson County, AR","13,900","68,114",0.20
Johnson County,AR,"Johnson County, AR","5,761","26,742",0.22
Lafayette County,AR,"Lafayette County, AR","1,498","6,682",0.22
Lawrence County,AR,"Lawrence County, AR","2,776","16,434",0.17
Lee County,AR,"Lee County, AR","3,098","8,985",0.34
Lincoln County,AR,"Lincoln County, AR","2,647","13,383",0.20
Little River County,AR,"Little River County, AR","1,942","12,326",0.16
Logan County,AR,"Logan County, AR","3,950","21,737",0.18
Lonoke County,AR,"Lonoke County, AR","8,651","73,657",0.12
Madison County,AR,"Madison County, AR","3,002","16,481",0.18
Marion County,AR,"Marion County, AR","3,082","16,722",0.18
Miller County,AR,"Miller County, AR","9,228","43,592",0.21
Mississippi County,AR,"Mississippi County, AR","10,325","41,239",0.25
Monroe County,AR,"Monroe County, AR","1,769","6,900",0.26
Montgomery County,AR,"Montgomery County, AR","1,649","8,924",0.18
Nevada County,AR,"Nevada County, AR","1,738","8,326",0.21
Newton County,AR,"Newton County, AR","1,340","7,805",0.17
Ouachita County,AR,"Ouachita County, AR","5,410","23,606",0.23
Perry County,AR,"Perry County, AR","1,502","10,352",0.15
Phillips County,AR,"Phillips County, AR","6,301","18,029",0.35
Pike County,AR,"Pike County, AR","1,856","10,673",0.17
Poinsett County,AR,"Poinsett County, AR","5,592","23,974",0.23
Polk County,AR,"Polk County, AR","3,962","20,049",0.20
Pope County,AR,"Pope County, AR","9,647","64,000",0.15
Prairie County,AR,"Prairie County, AR","1,254","8,074",0.16
Pulaski County,AR,"Pulaski County, AR","64,312","392,680",0.16
Randolph County,AR,"Randolph County, AR","3,050","17,948",0.17
St. Francis County,AR,"St. Francis County, AR","7,586","25,439",0.30
Saline County,AR,"Saline County, AR","11,695","121,421",0.10
Scott County,AR,"Scott County, AR","2,054","10,319",0.20
Searcy County,AR,"Searcy County, AR","1,912","7,958",0.24
Sebastian County,AR,"Sebastian County, AR","19,527","127,753",0.15
Sevier County,AR,"Sevier County, AR","3,402","17,139",0.20
Sharp County,AR,"Sharp County, AR","3,541","17,366",0.20
Stone County,AR,"Stone County, AR","2,497","12,457",0.20
Union County,AR,"Union County, AR","7,000","39,126",0.18
Van Buren County,AR,"Van Buren County, AR","2,685","16,603",0.16
Washington County,AR,"Washington County, AR","34,741","236,961",0.15
White County,AR,"White County, AR","12,505","78,727",0.16
Woodruff County,AR,"Woodruff County, AR","1,509","6,490",0.23
Yell County,AR,"Yell County, AR","3,453","21,535",0.16
California,CA,"California, CA","4,972,955","39,557,045",0.13
Alameda County,CA,"Alameda County, CA","147,394","1,666,753",0.09
Alpine County,CA,"Alpine County, CA",190,"1,101",0.17
Amador County,CA,"Amador County, CA","4,130","39,383",0.10
Butte County,CA,"Butte County, CA","42,016","231,256",0.18
Calaveras County,CA,"Calaveras County, CA","5,454","45,602",0.12
Colusa County,CA,"Colusa County, CA","2,350","21,627",0.11
Contra Costa County,CA,"Contra Costa County, CA","88,980","1,150,215",0.08
Del Norte County,CA,"Del Norte County, CA","5,065","27,828",0.18
El Dorado County,CA,"El Dorado County, CA","15,401","190,678",0.08
Fresno County,CA,"Fresno County, CA","208,627","994,400",0.21
Glenn County,CA,"Glenn County, CA","4,271","28,047",0.15
Humboldt County,CA,"Humboldt County, CA","27,002","136,373",0.20
Imperial County,CA,"Imperial County, CA","37,014","181,827",0.20
Inyo County,CA,"Inyo County, CA","2,172","17,987",0.12
Kern County,CA,"Kern County, CA","177,021","896,764",0.20
Kings County,CA,"Kings County, CA","25,481","151,366",0.17
Lake County,CA,"Lake County, CA","11,689","64,382",0.18
Lassen County,CA,"Lassen County, CA","3,653","30,802",0.12
Los Angeles County,CA,"Los Angeles County, CA","1,409,155","10,105,518",0.14
