County,SEX350209D
UNITED STATES,97.4
ALABAMA,94
"Autauga, AL",94.7
"Baldwin, AL",95.9
"Barbour, AL",113.6
"Bibb, AL",108.3
"Blount, AL",99.2
"Bullock, AL",124.6
"Butler, AL",89.1
"Calhoun, AL",91.9
"Chambers, AL",90
"Cherokee, AL",94.4
"Chilton, AL",98.8
"Choctaw, AL",88.2
"Clarke, AL",91.1
"Clay, AL",97.7
"Cleburne, AL",101.6
"Coffee, AL",94.6
"Colbert, AL",92.4
"Conecuh, AL",89.5
"Coosa, AL",99.1
"Covington, AL",91.9
"Crenshaw, AL",91.1
"Cullman, AL",98.4
"Dale, AL",94.9
"Dallas, AL",84
"DeKalb, AL",97.1
"Elmore, AL",101.8
"Escambia, AL",103.7
"Etowah, AL",92.5
"Fayette, AL",94.7
"Franklin, AL",101
"Geneva, AL",95.4
"Greene, AL",87.4
"Hale, AL",101.8
"Henry, AL",92.7
"Houston, AL",90.8
"Jackson, AL",95.2
"Jefferson, AL",90.1
"Lamar, AL",94.3
"Lauderdale, AL",91
"Lawrence, AL",96.4
"Lee, AL",97.2
"Limestone, AL",102.9
"Lowndes, AL",86.9
"Macon, AL",84.8
"Madison, AL",95.5
"Marengo, AL",89.7
"Marion, AL",99
"Marshall, AL",96.2
"Mobile, AL",91.6
"Monroe, AL",91.5
"Montgomery, AL",90.9
"Morgan, AL",97.3
"Perry, AL",86.1
"Pickens, AL",89.1
"Pike, AL",90.2
"Randolph, AL",93
"Russell, AL",89.7
"St. Clair, AL",101
"Shelby, AL",97.4
"Sumter, AL",82.8
"Talladega, AL",96
"Tallapoosa, AL",92.4
"Tuscaloosa, AL",93.1
"Walker, AL",93.5
"Washington, AL",94.7
"Wilcox, AL",84.5
"Winston, AL",97.2
ALASKA,107.7
"Aleutians East, AK",197.9
"Aleutians West, AK",186
"Anchorage, AK",103.1
"Bethel, AK",111.5
"Bristol Bay, AK",122.5
"Denali, AK",129.1
"Dillingham, AK",107.8
"Fairbanks North Star, AK",114.1
"Haines, AK",105.4
"Hoonah-Angoon, AK",117.5
"Juneau, AK",102.9
"Kenai Peninsula, AK",108.7
"Ketchikan Gateway, AK",105.2
"Kodiak Island, AK",116.5
"Lake and Peninsula, AK",107.7
"Matanuska-Susitna, AK",106.7
"Nome, AK",114
"North Slope, AK",114.5
"Northwest Arctic, AK",111.8
"Petersburg, AK",107.4
"Prince of Wales-Hyder, AK",122.1
"Sitka, AK",103.2
"Skagway, AK",111.5
"Southeast Fairbanks, AK",106.1
"Valdez-Cordova, AK",115.2
"Wade Hampton, AK",107.7
"Wrangell, AK",107.6
"Yakutat, AK",129.9
"Yukon-Koyukuk, AK",117.3
ARIZONA,100.5
"Apache, AZ",96
"Cochise, AZ",98.1
"Coconino, AZ",99.1
"Gila, AZ",94.9
"Graham, AZ",111.7
"Greenlee, AZ",110.1
"La Paz, AZ",100.8
"Maricopa, AZ",101.9
"Mohave, AZ",97.1
"Navajo, AZ",97.6
"Pima, AZ",96.1
"Pinal, AZ",109
"Santa Cruz, AZ",89.4
"Yavapai, AZ",96
"Yuma, AZ",98.8
ARKANSAS,96
"Arkansas, AR",91.6
"Ashley, AR",94.6
"Baxter, AR",92.8
"Benton, AR",99
"Boone, AR",94.2
"Bradley, AR",101.9
"Calhoun, AR",91.7
"Carroll, AR",99.4
"Chicot, AR",96
"Clark, AR",94.6
"Clay, AR",94.1
"Cleburne, AR",94.7
"Cleveland, AR",95.4
"Columbia, AR",93.2
"Conway, AR",96
"Craighead, AR",93.6
"Crawford, AR",97.7
"Crittenden, AR",91.7
"Cross, AR",94.1
"Dallas, AR",94.4
"Desha, AR",87.7
"Drew, AR",95.2
"Faulkner, AR",94.9
"Franklin, AR",97.6
"Fulton, AR",95.7
"Garland, AR",94.6
"Grant, AR",99.1
"Greene, AR",96.2
"Hempstead, AR",97.4
"Hot Spring, AR",100.8
"Howard, AR",97
"Independence, AR",96.6
"Izard, AR",105.4
"Jackson, AR",93.6
"Jefferson, AR",96.8
"Johnson, AR",98.3
"Lafayette, AR",94
"Lawrence, AR",94.1
"Lee, AR",118.1
"Lincoln, AR",154
"Little River, AR",95.7
"Logan, AR",98.9
"Lonoke, AR",97.5
"Madison, AR",100
"Marion, AR",98.3
"Miller, AR",95.2
"Mississippi, AR",93
"Monroe, AR",87.5
"Montgomery, AR",96.4
"Nevada, AR",96
"Newton, AR",103.1
"Ouachita, AR",91
"Perry, AR",98.3
"Phillips, AR",83.6
"Pike, AR",96.3
"Poinsett, AR",94.9
"Polk, AR",96.6
"Pope, AR",97.3
"Prairie, AR",97.1
"Pulaski, AR",91.7
"Randolph, AR",96.6
"St. Francis, AR",108.6
"Saline, AR",98.9
"Scott, AR",101.8
"Searcy, AR",97.9
"Sebastian, AR",95.7
"Sevier, AR",97.4
"Sharp, AR",93
"Stone, AR",95.9
"Union, AR",92.6
"Van Buren, AR",97.6
"Washington, AR",99.7
"White, AR",96.3
"Woodruff, AR",90.8
"Yell, AR",98.7
CALIFORNIA,100.3
"Alameda, CA",98
"Alpine, CA",114.2
"Amador, CA",119.6
"Butte, CA",96.7
"Calaveras, CA",98.9
"Colusa, CA",103.5
"Contra Costa, CA",97.4
"Del Norte, CA",121.8
"El Dorado, CA",100.9
"Fresno, CA",101.9
"Glenn, CA",102.3
"Humboldt, CA",98.3
"Imperial, CA",107.7
"Inyo, CA",98
"Kern, CA",107.6
"Kings, CA",134.6
"Lake, CA",98.3
"Lassen, CA",176.8
"Los Angeles, CA",98.5
"Madera, CA",92.7
"Marin, CA",99.9
"Mariposa, CA",104.2
"Mendocino, CA",99.8
"Merced, CA",101
"Modoc, CA",102.3
"Mono, CA",122.1
"Monterey, CA",108.3
"Napa, CA",102.4
"Nevada, CA",99.9
"Orange, CA",100.4
"Placer, CA",98.1
"Plumas, CA",100.1
"Riverside, CA",100.1
"Sacramento, CA",96.8
"San Benito, CA",103.9
"San Bernardino, CA",100.9
"San Diego, CA",100.7
"San Francisco, CA",103.2
"San Joaquin, CA",100.6
"San Luis Obispo, CA",105.4
"San Mateo, CA",99.2
"Santa Barbara, CA",102.3
"Santa Clara, CA",104.4
"Santa Cruz, CA",100.8
"Shasta, CA",96.4
"Sierra, CA",101.5
"Siskiyou, CA",97.9
"Solano, CA",101
"Sonoma, CA",98.6
"Stanislaus, CA",98.4
"Sutter, CA",99.4
"Tehama, CA",98.6
"Trinity, CA",102.8
"Tulare, CA",101.6
"Tuolumne, CA",112.2
"Ventura, CA",100.7
"Yolo, CA",96.5
"Yuba, CA",101.1
COLORADO,101.5
"Adams, CO",103.1
"Alamosa, CO",97
"Arapahoe, CO",97.6
"Archuleta, CO",99.9
"Baca, CO",97.2
"Bent, CO",189.1
"Boulder, CO",102.7
"Broomfield, CO",101.7
"Chaffee, CO",112
"Cheyenne, CO",96
"Clear Creek, CO",107.5
"Conejos, CO",96.1
"Costilla, CO",95.4
"Crowley, CO",298.9
"Custer, CO",99.4
"Delta, CO",99.6
"Denver, CO",102.6
"Dolores, CO",104.4
"Douglas, CO",100.5
"Eagle, CO",116.4
"Elbert, CO",100.8
"El Paso, CO",99.6
"Fremont, CO",132.7
"Garfield, CO",105.9
"Gilpin, CO",108
"Grand, CO",110.4
"Gunnison, CO",113.8
"Hinsdale, CO",96.9
"Huerfano, CO",125
"Jackson, CO",97
"Jefferson, CO",99.2
"Kiowa, CO",92.8
"Kit Carson, CO",143.7
"Lake, CO",111.9
"La Plata, CO",103.7
"Larimer, CO",99.8
"Las Animas, CO",101
"Lincoln, CO",137.3
"Logan, CO",117.2
"Mesa, CO",96.6
"Mineral, CO",101.3
"Moffat, CO",107.5
"Montezuma, CO",95.7
"Montrose, CO",97
"Morgan, CO",103.2
"Otero, CO",94.1
"Ouray, CO",100.3
"Park, CO",105.9
"Phillips, CO",91.6
"Pitkin, CO",111.7
"Prowers, CO",105.1
"Pueblo, CO",96.3
"Rio Blanco, CO",101
"Rio Grande, CO",94.4
"Routt, CO",114.3
"Saguache, CO",100.4
"San Juan, CO",103.3
"San Miguel, CO",117.2
"Sedgwick, CO",93.7
"Summit, CO",130.7
"Teller, CO",103.5
"Washington, CO",101
"Weld, CO",100.9
"Yuma, CO",95
CONNECTICUT,95.4
"Fairfield, CT",96.1
"Hartford, CT",94.1
"Litchfield, CT",96.8
"Middlesex, CT",95.8
"New Haven, CT",93.8
"New London, CT",96.7
"Tolland, CT",101.9
"Windham, CT",98
DELAWARE,94.3
"Kent, DE",92.1
"New Castle, DE",94.5
"Sussex, DE",95.7
DISTRICT OF COLUMBIA,89.4
District of Columbia,89.4
FLORIDA,96.9
"Alachua, FL",96
"Baker, FL",111
"Bay, FL",97.4
"Bradford, FL",132.5
"Brevard, FL",96.6
"Broward, FL",95
"Calhoun, FL",122.7
"Charlotte, FL",93.1
"Citrus, FL",92.3
"Clay, FL",97.6
"Collier, FL",103.3
"Columbia, FL",105.6
"DeSoto, FL",142
"Dixie, FL",116.1
"Duval, FL",93.8
"Escambia, FL",97.7
"Flagler, FL",94.7
"Franklin, FL",132.1
"Gadsden, FL",91.3
"Gilchrist, FL",109.1
"Glades, FL",126.9
"Gulf, FL",150
"Hamilton, FL",145.3
"Hardee, FL",129.1
"Hendry, FL",131.3
"Hernando, FL",92.4
"Highlands, FL",97.9
"Hillsborough, FL",97.3
"Holmes, FL",115.6
"Indian River, FL",96.1
"Jackson, FL",118.1
"Jefferson, FL",110.2
"Lafayette, FL",163.3
"Lake, FL",95.1
"Lee, FL",98.2
"Leon, FL",91.4
"Levy, FL",94.2
"Liberty, FL",148.8
"Madison, FL",111.1
"Manatee, FL",95.9
"Marion, FL",94.6
"Martin, FL",99.5
"Miami-Dade, FL",95.4
"Monroe, FL",114.4
"Nassau, FL",97.9
"Okaloosa, FL",98.9
"Okeechobee, FL",117.5
"Orange, FL",98.8
"Osceola, FL",99.5
"Palm Beach, FL",95.8
"Pasco, FL",94.9
"Pinellas, FL",92.7
"Polk, FL",97.8
"Putnam, FL",97
"St. Johns, FL",96.4
"St. Lucie, FL",97
"Santa Rosa, FL",101.1
"Sarasota, FL",93
"Seminole, FL",97.1
"Sumter, FL",117.2
"Suwannee, FL",97.9
"Taylor, FL",126.2
"Union, FL",181.1
"Volusia, FL",96.1
"Wakulla, FL",117.7
"Walton, FL",103.6
"Washington, FL",115.7
GEORGIA,96.8
"Appling, GA",98.4
"Atkinson, GA",97.4
"Bacon, GA",98.9
"Baker, GA",86.4
"Baldwin, GA",114.5
"Banks, GA",100.9
"Barrow, GA",98.1
"Bartow, GA",97.9
"Ben Hill, GA",92.4
"Berrien, GA",96.5
"Bibb, GA",85.1
"Bleckley, GA",100.4
"Brantley, GA",99.2
