State,County (Short),County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Alabama,Baldwin,"Baldwin, Alabama",2019,166,140,26,0,0,0,0,80,54,40,0,0,139,0,27,0
Alabama,Clay,"Clay, Alabama",2019,63,58,5,0,0,0,0,67,49,29,0,0,0,0,63,0
Alabama,Colbert,"Colbert, Alabama",2019,171,161,10,0,0,0,0,61,49,38,0,0,138,0,33,0
Alabama,DeKalb,"DeKalb, Alabama",2019,208,188,20,0,0,0,0,77,50,39,0,0,187,0,21,0
Alabama,Elmore,"Elmore, Alabama",2019,148,137,11,0,0,0,0,100,49,41,0,0,148,0,0,0
Alabama,Etowah,"Etowah, Alabama",2019,170,144,26,0,0,0,0,90,54,43,0,0,136,0,34,0
Alabama,Houston,"Houston, Alabama",2019,170,150,20,0,0,0,0,77,51,38,0,0,130,0,40,0
Alabama,Jefferson,"Jefferson, Alabama",2019,121,59,61,0,1,0,0,200,67,51,1,1,32,5,81,1
Alabama,Madison,"Madison, Alabama",2019,181,130,51,0,0,0,0,90,61,44,0,0,89,0,92,0
Alabama,Mobile,"Mobile, Alabama",2019,211,158,53,0,0,0,0,79,61,42,0,0,90,3,118,0
Alabama,Montgomery,"Montgomery, Alabama",2019,212,103,108,1,0,0,0,122,67,51,0,0,40,0,172,0
Alabama,Morgan,"Morgan, Alabama",2019,212,176,36,0,0,0,0,87,54,41,0,0,116,0,96,0
Alabama,Russell,"Russell, Alabama",2019,212,153,59,0,0,0,0,84,60,42,0,0,70,0,142,0
Alabama,Shelby,"Shelby, Alabama",2019,206,184,21,1,0,0,0,119,51,37,0,0,148,58,0,0
Alabama,Sumter,"Sumter, Alabama",2019,207,196,11,0,0,0,0,62,47,34,0,0,109,8,90,0
Alabama,Tuscaloosa,"Tuscaloosa, Alabama",2019,155,146,9,0,0,0,0,59,47,35,0,0,111,0,44,0
Alaska,Anchorage ,"Anchorage , Alaska",2019,181,140,39,2,0,0,0,136,62,27,2,0,0,0,112,67
Alaska,Bethel ,"Bethel , Alaska",2019,156,154,2,0,0,0,0,62,28,10,0,0,0,0,86,70
Alaska,Denali ,"Denali , Alaska",2019,237,236,1,0,0,0,0,54,45,38,0,0,237,0,0,0
Alaska,Fairbanks North Star ,"Fairbanks North Star , Alaska",2019,182,117,48,9,8,0,0,172,95,39,1,16,80,1,81,3
Alaska,Juneau ,"Juneau , Alaska",2019,180,143,37,0,0,0,0,79,56,25,0,0,0,0,170,10
