year,state,state_po,county_short,County,FIPS,office,candidate,party,candidatevotes,totalvotes,% Democrat Votes (of major parties),% Democrat Votes
2016,Alabama,AL,Autauga,"Autauga, AL",1001,President,Hillary Clinton,democrat,5936,24973,0.246225319,0.237696712
2016,Alabama,AL,Autauga,"Autauga, AL",1001,President,Donald Trump,republican,18172,24973,0.954562168,0.727665879
2016,Alabama,AL,Autauga,"Autauga, AL",1001,President,Other,NA,865,24973,0.044765306,0.034637408
2016,Alabama,AL,Baldwin,"Baldwin, AL",1003,President,Hillary Clinton,democrat,18458,95215,0.202077928,0.19385601
2016,Alabama,AL,Baldwin,"Baldwin, AL",1003,President,Donald Trump,republican,72883,95215,0.949529033,0.765457123
2016,Alabama,AL,Baldwin,"Baldwin, AL",1003,President,Other,NA,3874,95215,0.442995998,0.040686867
2016,Alabama,AL,Barbour,"Barbour, AL",1005,President,Hillary Clinton,democrat,4871,10469,0.471767554,0.465278441
2016,Alabama,AL,Barbour,"Barbour, AL",1005,President,Donald Trump,republican,5454,10469,0.974276527,0.520966663
2016,Alabama,AL,Barbour,"Barbour, AL",1005,President,Other,NA,144,10469,0.07135778,0.013754895
2016,Alabama,AL,Bibb,"Bibb, AL",1007,President,Hillary Clinton,democrat,1874,8819,0.217603344,0.212495748
2016,Alabama,AL,Bibb,"Bibb, AL",1007,President,Donald Trump,republican,6738,8819,0.970194384,0.764032203
2016,Alabama,AL,Bibb,"Bibb, AL",1007,President,Other,NA,207,8819,0.087600508,0.023472049
2016,Alabama,AL,Blount,"Blount, AL",1009,President,Hillary Clinton,democrat,2156,25588,0.086188287,0.084258246
2016,Alabama,AL,Blount,"Blount, AL",1009,President,Donald Trump,republican,22859,25588,0.975546262,0.893348445
2016,Alabama,AL,Blount,"Blount, AL",1009,President,Other,NA,573,25588,0.139653912,0.022393309
2016,Alabama,AL,Bullock,"Bullock, AL",1011,President,Hillary Clinton,democrat,3530,4710,0.755888651,0.749469214
2016,Alabama,AL,Bullock,"Bullock, AL",1011,President,Donald Trump,republican,1140,4710,0.966101695,0.242038217
2016,Alabama,AL,Bullock,"Bullock, AL",1011,President,Other,NA,40,4710,0.010621349,0.008492569
2016,Alabama,AL,Butler,"Butler, AL",1013,President,Hillary Clinton,democrat,3726,8732,0.431899849,0.426706367
2016,Alabama,AL,Butler,"Butler, AL",1013,President,Donald Trump,republican,4901,8732,0.97902517,0.561268896
2016,Alabama,AL,Butler,"Butler, AL",1013,President,Other,NA,105,8732,0.007866936,0.012024737
2016,Alabama,AL,Calhoun,"Calhoun, AL",1015,President,Hillary Clinton,democrat,13242,47864,0.28720151,0.276658867
2016,Alabama,AL,Calhoun,"Calhoun, AL",1015,President,Donald Trump,republican,32865,47864,0.949251921,0.68663296
2016,Alabama,AL,Calhoun,"Calhoun, AL",1015,President,Other,NA,1757,47864,0.232992972,0.036708173
2016,Alabama,AL,Chambers,"Chambers, AL",1017,President,Hillary Clinton,democrat,5784,13900,0.424451457,0.416115108
2016,Alabama,AL,Chambers,"Chambers, AL",1017,President,Donald Trump,republican,7843,13900,0.96636274,0.564244604
2016,Alabama,AL,Chambers,"Chambers, AL",1017,President,Other,NA,273,13900,0.15,0.019640288
2016,Alabama,AL,Cherokee,"Cherokee, AL",1019,President,Hillary Clinton,democrat,1547,10733,0.147333333,0.144134911
2016,Alabama,AL,Cherokee,"Cherokee, AL",1019,President,Donald Trump,republican,8953,10733,0.974635315,0.83415634
2016,Alabama,AL,Cherokee,"Cherokee, AL",1019,President,Other,NA,233,10733,0.074109415,0.021708749
2016,Alabama,AL,Chilton,"Chilton, AL",1021,President,Hillary Clinton,democrat,2911,18369,0.161794131,0.158473515
2016,Alabama,AL,Chilton,"Chilton, AL",1021,President,Donald Trump,republican,15081,18369,0.975611334,0.821002776
2016,Alabama,AL,Chilton,"Chilton, AL",1021,President,Other,NA,377,18369,0.108146873,0.020523708
2016,Alabama,AL,Choctaw,"Choctaw, AL",1023,President,Hillary Clinton,democrat,3109,7292,0.430907831,0.426357652
2016,Alabama,AL,Choctaw,"Choctaw, AL",1023,President,Donald Trump,republican,4106,7292,0.981592159,0.56308283
2016,Alabama,AL,Choctaw,"Choctaw, AL",1023,President,Other,NA,77,7292,0.013216615,0.010559517
2016,Alabama,AL,Clarke,"Clarke, AL",1025,President,Hillary Clinton,democrat,5749,13031,0.446039258,0.441178728
2016,Alabama,AL,Clarke,"Clarke, AL",1025,President,Donald Trump,republican,7140,13031,0.980499863,0.547924181
2016,Alabama,AL,Clarke,"Clarke, AL",1025,President,Other,NA,142,13031,0.102973169,0.010897092
2016,Alabama,AL,Clay,"Clay, AL",1027,President,Hillary Clinton,democrat,1237,6624,0.190836162,0.186745169
2016,Alabama,AL,Clay,"Clay, AL",1027,President,Donald Trump,republican,5245,6624,0.973640245,0.791817633
2016,Alabama,AL,Clay,"Clay, AL",1027,President,Other,NA,142,6624,0.171912833,0.021437198
2016,Alabama,AL,Cleburne,"Cleburne, AL",1029,President,Hillary Clinton,democrat,684,6593,0.106079404,0.103746398
2016,Alabama,AL,Cleburne,"Cleburne, AL",1029,President,Donald Trump,republican,5764,6593,0.975461161,0.874260579
2016,Alabama,AL,Cleburne,"Cleburne, AL",1029,President,Other,NA,145,6593,0.033211177,0.021993023
