Topic = [‘environment’, ‘transmission’]
,pub_date,title,author,sentence
0,2020-03-23,An Imperative Need for Research on the Role of Environmental Factors in Transmission of Novel Coronavirus (COVID-19),"Qu, et. al",Unable to retrieve dataan imperative need for research on the role of environmental factors in transmission of novel coronavirus (covid-19).
1,2020-04-07,2019 Novel Coronavirus (COVID-19) Pandemic: Built Environment Considerations To Reduce Transmission,"Dietz, et. al","With the rapid spread of severe acute respiratory syndrome coronavirus 2 (sars-cov-2) that results in coronavirus disease 2019 (covid-19), corporate entities, federal, state, county, and city governments, universities, school districts, places of worship, prisons, health care facilities, assisted living organizations, daycares, homeowners, and other building owners and occupants have an opportunity to reduce the potential for transmission through built environment (be)-mediated pathways.In this paper, we synthesize this microbiology of the be research and the known information about sars-cov-2 to provide actionable and achievable guidance to be decision makers, building operators, and all indoor occupants attempting to minimize infectious disease transmission through environmentally mediated pathways.Author video: an author video summary of this article is available.2019 novel coronavirus (covid-19) pandemic: built environment considerations to reduce transmission."
2,2020-04-17,Saliva: potential diagnostic value and transmission of 2019-nCoV,"Xu, et. al","Close contact or short-range transmission of infectious saliva droplets is a primary mode for 2019-ncov to disseminate as claimed by who, while long-distance saliva aerosol transmission is highly environment dependent within indoor space with aerosol-generating procedures such as dental practice."
3,2020-04-20,Perioperative COVID-19 Defense: An Evidence-Based Approach for Optimization of Infection Control and Operating Room Management,"Dexter, et. al","Confirmed modes of viral transmission are primarily, but not exclusively, contact with contaminated environmental surfaces and aerosolization."
4,2020-04-22,Letter to the Editor Regarding: “An Imperative Need for Research on the Role of Environmental Factors in Transmission of Novel Coronavirus (COVID-19)” —Secondhand and Thirdhand Smoke As Potential Sources of COVID-19,"Mahabee-Gittens, et. al",Unable to retrieve dataletter to the editor regarding: “an imperative need for research on the role of environmental factors in transmission of novel coronavirus (covid-19)” —secondhand and thirdhand smoke as potential sources of covid-19.
5,2020-04-27,Is SARS-CoV-2 Also an Enteric Pathogen with Potential Fecal-Oral Transmission: A COVID-19 Virological and Clinical Review,"Ding, et. al",Here we briefly summarize what is known about this family of viruses and literature basis of the hypothesis that sars-cov-2 is capable of infecting the gastrointestinal tract and shedding in the environment for potential human-to-human transmission.is sars-cov-2 also an enteric pathogen with potential fecal-oral transmission: a covid-19 virological and clinical review.
6,2020-04-28,"Coronavirus in water environments: Occurrence, persistence and concentration methods - A scoping review",La et. al,"The data available suggest that: i) cov seems to have a low stability in the environment and is very sensitive to oxidants, like chlorine; ii) cov appears to be inactivated significantly faster in water than non-enveloped human enteric viruses with known waterborne transmission; iii) temperature is an important factor influencing viral survival (the titer of infectious virus declines more rapidly at 23°c–25 °c than at 4 °c); iv) there is no current evidence that human coronaviruses are present in surface or ground waters or are transmitted through contaminated drinking-water; v) further research is needed to adapt to enveloped viruses the methods commonly used for sampling and concentration of enteric, non enveloped viruses from water environments."
7,2020-04-20,Factors determining the diffusion of COVID-19 and suggested strategy to prevent future accelerated viral infectivity similar to COVID,"Coccia, Mario","Lessons learned for covid-19 in the case study of italy suggest that a proactive strategy to cope with future epidemics is to also apply especially an environmental and sustainable policy based on reduction of levels of air pollution mainly in hinterland and polluting cities- having low wind speed, high percentage of moisture and fog days-that seem to have an environment that may damage immune system of people and foster a fast transmission dynamics of viral infectivity in society.Hence, in the presence of polluting industrialization in regions that can trigger the mechanism of air pollution-to-human transmission dynamics of viral infectivity, this study must conclude that a comprehensive strategy to prevent future epidemics similar to covid-19 has to be also designed in environmental and socioeconomic terms, that is also based on sustainability science and environmental science, and not only in terms of biology, healthcare and health sector.factors determining the diffusion of covid-19 and suggested strategy to prevent future accelerated viral infectivity similar to covid."
8,2020-04-04,Risk of nosocomial transmission of coronavirus disease 2019: an experience in a general ward setting in Hong Kong,"Wong, et. al","Conclusion our findings suggest that sars-cov-2 is not spread by an airborne route, and nosocomial transmissions can be prevented through vigilant basic infection control measures, including wearing of surgical masks, hand and environmental hygiene.risk of nosocomial transmission of coronavirus disease 2019: an experience in a general ward setting in hong kong."
9,2020-04-29,Strategies for daily operating room management of ambulatory surgery centers following resolution of the acute phase of the COVID-19 pandemic,"Dexter, et. al",Aureus transmission from patient to the environment).
